散客累计消费:7273.0
明细如下：
消费收银:198,时间:12-3
消费收银:194,时间:12-5
快速消费:140,时间:12-7
快速消费:30,时间:12-7
消费收银:0,时间:12-7
快速消费:194,时间:12-7
快速消费:36,时间:12-9
快速消费:36,时间:12-9
快速消费:49,时间:12-10
快速消费:29,时间:12-10
快速消费:336,时间:12-10
快速消费:230,时间:12-12
快速消费:100,时间:12-12
快速消费:138,时间:12-12
快速消费:29,时间:12-13
快速消费:119,时间:12-14
快速消费:29,时间:12-15
快速消费:194,时间:12-16
快速消费:200,时间:12-17
快速消费:508,时间:12-17
快速消费:188,时间:12-17
快速消费:138,时间:12-18
快速消费:168,时间:12-20
快速消费:75,时间:12-21
快速消费:29,时间:12-21
快速消费:194,时间:12-21
快速消费:1580,时间:12-21
快速消费:90,时间:12-22
快速消费:398,时间:12-24
快速消费:194,时间:12-25
快速消费:194,时间:12-25
快速消费:138,时间:12-26
快速消费:138,时间:12-26
快速消费:100,时间:12-27
快速消费:100,时间:12-27
快速消费:138,时间:12-27
快速消费:69,时间:12-27
快速消费:150,时间:12-29
快速消费:120,时间:12-29
快速消费:110,时间:12-29
快速消费:80,时间:12-29
快速消费:88,时间:12-31
