散客累计消费:9437.0
明细如下：
快速消费:1500,时间:1-2
快速消费:230,时间:1-4
快速消费:20,时间:1-4
快速消费:34,时间:1-5
快速消费:34,时间:1-5
快速消费:176,时间:1-6
快速消费:52,时间:1-6
消费收银:250,时间:1-9
快速消费:230,时间:1-10
快速消费:70,时间:1-11
快速消费:68,时间:1-11
快速消费:188,时间:1-12
快速消费:135,时间:1-13
快速消费:218,时间:1-13
快速消费:160,时间:1-13
快速消费:138,时间:1-13
消费收银:0,时间:1-13
消费收银:0,时间:1-13
快速消费:320,时间:1-14
快速消费:150,时间:1-16
快速消费:138,时间:1-16
快速消费:1580,时间:1-17
快速消费:198,时间:1-17
快速消费:100,时间:1-18
快速消费:198,时间:1-19
快速消费:400,时间:1-19
快速消费:248,时间:1-19
快速消费:300,时间:1-19
快速消费:100,时间:1-19
快速消费:178,时间:1-21
快速消费:60,时间:1-21
快速消费:50,时间:1-21
消费收银:188,时间:1-22
快速消费:350,时间:1-22
快速消费:188,时间:1-30
快速消费:188,时间:1-30
快速消费:1000,时间:1-30
